French,English
partie,part
histoire,history
chercher,search
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
affaire,case
type,type
donné,given
endroit,place
écoute,listen
premier,first
perdu,lost
côté,side
vieux,old
matin,morning
point,point
venu,came
suite,after
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
parti,left
nouvelle,new
boulot,job
dirait,would say
compte,account
donne,given
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
jouer,to play
bureau,office
